xflr5 v6.47

Plane name :        Plane Name
Polar name :        T2-VLM2-0.5kg-x-0.2m-z-0.0m-Inviscid

   alpha      Beta       CL          CDi        CDv        CD         CY         Cl         Cm         Cn        Cni       QInf        XCP
   13.000     0.000   1.374273  -0.017596   0.000000  -0.017596   0.000000  -0.000000  -3.340899  -0.000000  -0.000000    4.7080     0.1854
   13.500     0.000   1.419418  -0.018710   0.000000  -0.018710   0.000000  -0.000000  -3.442956  -0.000000  -0.000000    4.6325     0.1852
   14.000     0.000   1.464483  -0.019850   0.000000  -0.019850   0.000000  -0.000000  -3.544150  -0.000000  -0.000000    4.5607     0.1850
   14.500     0.000   1.509466  -0.021018   0.000000  -0.021018   0.000000  -0.000000  -3.644450  -0.000000  -0.000000    4.4922     0.1848
   15.000     0.000   1.554363  -0.022210   0.000000  -0.022210   0.000000  -0.000000  -3.743825  -0.000000  -0.000000    4.4268     0.1846
   15.500     0.000   1.599172  -0.023427   0.000000  -0.023427   0.000000  -0.000000  -3.842246  -0.000000  -0.000000    4.3644     0.1844
   16.000     0.000   1.643891  -0.024668   0.000000  -0.024668   0.000000  -0.000000  -3.939682  -0.000000  -0.000000    4.3046     0.1842
   16.500     0.000   1.688516  -0.025932   0.000000  -0.025932   0.000000  -0.000000  -4.036103  -0.000000  -0.000000    4.2473     0.1841
   17.000     0.000   1.733046  -0.027218   0.000000  -0.027218   0.000000  -0.000000  -4.131480  -0.000000  -0.000000    4.1924     0.1839
   17.500     0.000   1.777476  -0.028525   0.000000  -0.028525   0.000000  -0.000000  -4.225785  -0.000000  -0.000000    4.1397     0.1837
   18.000     0.000   1.821804  -0.029851   0.000000  -0.029851   0.000000  -0.000000  -4.318987  -0.000000  -0.000000    4.0890     0.1836
   18.500     0.000   1.866028  -0.031197   0.000000  -0.031197   0.000000  -0.000000  -4.411060  -0.000000  -0.000000    4.0403     0.1834
   19.000     0.000   1.910145  -0.032560   0.000000  -0.032560   0.000000  -0.000000  -4.501975  -0.000000  -0.000000    3.9934     0.1833
   19.500     0.000   1.954151  -0.033941   0.000000  -0.033941   0.000000  -0.000000  -4.591704  -0.000000  -0.000000    3.9481     0.1831
   20.000     0.000   1.998044  -0.035337   0.000000  -0.035337   0.000000  -0.000000  -4.680219  -0.000000  -0.000000    3.9045     0.1830


